source,destination,source_port,destination_port,protocol,length,flags,ttl,window_size,seq_number,ack_number,time_delta,label
3695257061,168430090,0,0,1,420,0,84,0,0,0,1.2e-05,attack
2316773779,168430090,0,0,1,1474,0,78,0,0,0,2e-06,attack
1635655451,168430090,0,0,1,170,0,137,0,0,0,2e-06,attack
3054727033,168430090,0,0,1,1280,0,108,0,0,0,2e-06,attack
846573822,168430090,0,0,1,1047,0,78,0,0,0,2e-06,attack
3513103553,168430090,0,0,1,1360,0,86,0,0,0,1.3e-05,attack
3321096001,168430090,0,0,1,1163,0,124,0,0,0,2e-06,attack
1905819324,168430090,0,0,1,1251,0,66,0,0,0,2e-06,attack
1389997099,168430090,0,0,1,228,0,130,0,0,0,2e-06,attack
3627283007,168430090,0,0,1,226,0,91,0,0,0,2e-06,attack
2701457593,168430090,0,0,1,978,0,42,0,0,0,2e-06,attack
2833762222,168430090,0,0,1,1142,0,114,0,0,0,2e-06,attack
1123277420,168430090,0,0,1,618,0,132,0,0,0,2e-06,attack
2479031444,168430090,0,0,1,895,0,149,0,0,0,2e-06,attack
2893773216,168430090,0,0,1,886,0,127,0,0,0,2e-06,attack
727103291,168430090,0,0,1,394,0,138,0,0,0,2e-06,attack
2638284887,168430090,0,0,1,1211,0,64,0,0,0,2e-06,attack
2332616316,168430090,0,0,1,1385,0,106,0,0,0,2e-06,attack
2048593627,168430090,0,0,1,108,0,50,0,0,0,3e-06,attack
1321019181,168430090,0,0,1,1227,0,61,0,0,0,3e-06,attack
2472720495,168430090,0,0,1,1082,0,140,0,0,0,2e-06,attack
1007020157,168430090,0,0,1,1336,0,60,0,0,0,3e-06,attack
3622419581,168430090,0,0,1,95,0,116,0,0,0,1e-06,attack
1866691425,168430090,0,0,1,1362,0,139,0,0,0,3e-06,attack
2006063545,168430090,0,0,1,403,0,67,0,0,0,1e-06,attack
2349740105,168430090,0,0,1,1440,0,75,0,0,0,2e-06,attack
2869197632,168430090,0,0,1,632,0,61,0,0,0,2e-06,attack
1289549434,168430090,0,0,1,333,0,132,0,0,0,2e-06,attack
367609808,168430090,0,0,1,1272,0,82,0,0,0,2e-06,attack
793139590,168430090,0,0,1,274,0,133,0,0,0,2e-06,attack
2650404473,168430090,0,0,1,1103,0,79,0,0,0,2e-06,attack
2217423913,168430090,0,0,1,1137,0,42,0,0,0,2e-06,attack
2336586310,168430090,0,0,1,160,0,81,0,0,0,2e-06,attack
71630543,168430090,0,0,1,1284,0,104,0,0,0,2e-06,attack
495212389,168430090,0,0,1,238,0,50,0,0,0,1e-06,attack
1231182585,168430090,0,0,1,390,0,121,0,0,0,2e-06,attack
3037311410,168430090,0,0,1,1146,0,92,0,0,0,2e-06,attack
2854023217,168430090,0,0,1,1365,0,49,0,0,0,2e-06,attack
734727567,168430090,0,0,1,793,0,88,0,0,0,2e-06,attack
2846645204,168430090,0,0,1,533,0,135,0,0,0,2e-06,attack
2647949767,168430090,0,0,1,1090,0,73,0,0,0,2e-06,attack
1810152163,168430090,0,0,1,550,0,97,0,0,0,2e-06,attack
656487915,168430090,0,0,1,586,0,58,0,0,0,2e-06,attack
1157483534,168430090,0,0,1,381,0,49,0,0,0,2e-06,attack
3350031247,168430090,0,0,1,929,0,108,0,0,0,2e-06,attack
2370297610,168430090,0,0,1,147,0,99,0,0,0,1e-06,attack
1131076907,168430090,0,0,1,829,0,57,0,0,0,3e-06,attack
2831709482,168430090,0,0,1,983,0,93,0,0,0,1e-06,attack
3553517375,168430090,0,0,1,1123,0,117,0,0,0,2e-06,attack
3367158290,168430090,0,0,1,233,0,73,0,0,0,2e-06,attack
2271036001,168430090,0,0,1,1257,0,124,0,0,0,2e-06,attack
120438502,168430090,0,0,1,507,0,90,0,0,0,3e-06,attack
285267392,168430090,0,0,1,1252,0,48,0,0,0,1e-06,attack
1410966461,168430090,0,0,1,1364,0,76,0,0,0,2e-06,attack
1926780375,168430090,0,0,1,197,0,120,0,0,0,2e-06,attack
1886498892,168430090,0,0,1,1298,0,88,0,0,0,3e-06,attack
2991657699,168430090,0,0,1,702,0,48,0,0,0,2e-06,attack
